Type,Name,Ground Speed,Water Speed,Air Speed,Anti-Gravity Speed,Acceleration,Weight,Ground Handling,Water Handling,Air Handling,Anti-Gravity Handling,Traction,Mini-Turbo
,Standard,0,0,0,0,0,0,0,0,0,0,0,0
,Monster,0,-0.5,-0.25,0,-0.5,0.5,-0.75,-0.75,-0.75,-0.75,0.75,0
,Roller,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
,Slim,0.25,-0.25,0.25,0.25,-0.25,0,0.25,0.25,0.25,0.25,-0.5,0.25
,Slick,0.5,-1,0.5,0.5,-0.25,0.25,0,0,0,0,-1,0.25
,Metal,0.25,-0.25,0.25,0.25,-0.5,0.5,0,0,0,0,-0.5,0
,Button,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
,Off-Road,0,0,0,0,0,0,0,0,0,0,0,0
,Sponge,-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
,Wood,-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
,Cushion,-0.25,-1,0.25,-0.25,0.25,-0.25,-0.25,-0.5,0,-0.25,0.5,0.75
,Blue Standard,0,0,0,0,0,0,0,0,0,0,0,0
,Hot Monster,0,-0.5,-0.25,0,-0.5,0.5,-0.75,-0.75,-0.75,-0.75,0.75,0
,Azure Roller,-0.5,0,0.5,-0.5,1,-0.5,0.25,0.25,0.25,0.25,-0.25,1.5
,Crimson Slim,0.25,-0.25,0.25,0.25,-0.25,0,0.25,0.25,0.25,0.25,-0.5,0.25
,Cyber Slick,0.5,-1,0.5,0.5,-0.25,0.25,0,0,0,0,-1,0.25
,Retro Off-Road,0,0,0,0,0,0,0,0,0,0,0,0
,Gold Tires,0.25,-0.25,0.25,0.25,-0.5,0.5,0,0,0,0,-0.5,0
